131631,101299,70160,30379,106747
848,11935,11302,429,306667
9645,24575,10413,504,16320
12155,13155,308531,35791,262500
809,10192,10199,62177,808
121,81005,122917,57158,122
280,534,296,2135,5708
2454,49519,411,145220,14164
11165,744,8198,72431,16651
91314,8373,38356,347126,20526
14538,26428,289,342,38543
672,674,671,767,673
675,672,671,673,767
343795,10138,453,82679,12486
235,10786,20504,11683,7737
40247,49519,94352,15045,129
3638,231576,10202,170687,13908
155,2661,268,49026,36597
953,65759,9836,80321,12535
1593,2309,181533,49013,417859
36668,76170,36658,36657,246655
604,603,87101,157353,77332
9023,812,17622,10530,14317
605,9355,14757,84184,603
10195,102899,1724,76170,10138
77332,20504,244316,2662,9693
591,9616,11324,175291,169917
76338,18823,82700,102899,10138
258509,49013,9408,227973,12
3989,270946,7451,49519,17711
18823,32657,82700,670,13551
2270,11979,19724,306667,11935
56292,7451,326284,956,954
10075,9741,8968,395766,205587
258509,227783,49519,18736,18475
21345,9502,140300,16112,10707
228326,2309,417859,29076,849
955,954,56292,21512,192141
14757,12486,11935,74725,9355
12589,10996,826,68179,9849
57800,950,228326,49013,140300
879,102382,417859,11359,15511
385636,8069,29076,272878,62008
2755,14014,1495,361159,188207
953,258509,10527,9023,13053
709,36670,710,10764,322443
13856,11507,14351,17264,9647
286217,14854,192102,72545,9355
607,9783,41154,107985,15745
346081,7450,1911,10191,57800
49013,228326,49444,227973,172391
177677,36955,956,21512,7451
16690,116711,20737,116977,9543
27360,11935,185465,343795,14757
64686,7301,76170,146269,158011
26428,14139,9837,17820,11033
54138,44912,157,182873,201
559,558,102382,6488,23483
10191,2486,6278,10800,227
32657,18823,57165,110683,9334
9664,72431,841,4421,744
209112,19959,2048,12123,10796
36597,943,39514,14139,27360
91314,347126,1724,20764,9306
14869,9954,24206,9053,59967
14139,87827,62206,10329,14538
70687,1724,7450,81188,72710
271110,72431,146269,10691,100402
36670,9624,326284,7451,58233
26022,16112,8849,11302,37165
24021,18239,8966,628,24100
9836,10527,270946,58224,296099
10138,10195,76338,36658,76170
2268,81005,425,227,1366
31174,2359,45226,9433,907
9928,12227,28902,7459,20737
43306,188161,258509,170687,49519
211672,14175,49519,19585,65759
324668,2502,2501,134371,16995
49444,140300,21345,256924,9470
10138,68812,172391,26022,14014
131631,70160,131634,18501,2395
11260,16866,68179,7453,7450
9355,9541,82700,14014,204082
9737,111,584,306,2207
71688,2309,44115,14139,17622
324668,59961,9331,2502,254904
18823,29076,670,2355,34941
504,1865,58,57800,87
672,674,675,767,671
10628,227306,1904,114,10691
192141,14757,14014,12486,13994
239897,170687,50135,7518,45324
18360,1593,9593,49519,6435
11090,214,9806,10138,429
16112,14014,14757,12486,675
332411,9962,4638,134371,249164
58,1865,285,15511,72197
101299,131634,12244,19405,70160
13448,11015,329440,431,335874
46195,14873,17622,258489,10159
36657,76170,36668,2080,49538
9799,584,70074,146198,75656
10528,11302,27360,13056,17711
57165,172391,188207,184315,68812
14757,11935,82700,8831,9355
2310,947,10191,72431,10691
25520,1620,13051,956,24973
2661,268,414,49026,272
13673,287903,50647,10137,812
258509,1954,26837,24973,28260
954,956,10550,302156,5820
17820,157293,36970,32274,75033
44912,1724,9826,76338,24428
7364,14139,9457,146,1997
68812,82700,13994,14014,37950
2503,2502,37821,59961,39514
13807,14139,4327,13856,10550
11798,5491,7450,11260,395
10137,10199,227783,228326,46195
14474,95,82533,608,328425
15070,11798,47534,19419,70981
2048,254473,198184,332411,10559
168259,10477,29076,670,41283
9957,43867,17127,26602,4599
14139,13856,9486,7364,49013
10676,82700,27374,11128,16112
1894,1893,13483,1892,1891
